_id,term,definition,analysis.pos_tags[0][0],analysis.pos_tags[0][1],analysis.pos_tags[1][0],analysis.pos_tags[1][1],analysis.stems[0],analysis.stems[1],created_at,sentiment_score,source_link,status,category
695381313b178b129082b96c,게임적 허용,,,,,,,,2025-12-30T16:37:21.298Z,,https://namu.wiki/w/%EA%B2%8C%EC%9E%84%EC%A0%81%20%ED%97%88%EC%9A%A9,raw,
695381313b178b129082b96d,게임판,,,,,,,,2025-12-30T16:37:21.298Z,,https://namu.wiki/w/%EA%B2%8C%EC%9E%84%ED%8C%90,raw,
695381313b178b129082b96e,게임화,,,,,,,,2025-12-30T16:37:21.298Z,,https://namu.wiki/w/%EA%B2%8C%EC%9E%84%ED%99%94,raw,
695381313b178b129082b96f,경험치책,,,,,,,,2025-12-30T16:37:21.299Z,,https://namu.wiki/w/%EA%B2%BD%ED%97%98%EC%B9%98%EC%B1%85,raw,
695381313b178b129082b970,계정 정지,,,,,,,,2025-12-30T16:37:21.299Z,,https://namu.wiki/w/%EA%B3%84%EC%A0%95%20%EC%A0%95%EC%A7%80,raw,
695381313b178b129082b971,고수,,,,,,,,2025-12-30T16:37:21.299Z,,https://namu.wiki/w/%EA%B3%A0%EC%88%98,raw,
695381313b178b129082b972,고의미스,,,,,,,,2025-12-30T16:37:21.300Z,,https://namu.wiki/w/%EA%B3%A0%EC%9D%98%EB%AF%B8%EC%8A%A4,raw,
695381313b178b129082b973,고인,,,,,,,,2025-12-30T16:37:21.300Z,,https://namu.wiki/w/%EA%B3%A0%EC%9D%B8,raw,
695381313b178b129082b974,고점,,,,,,,,2025-12-30T16:37:21.300Z,,https://namu.wiki/w/%EA%B3%A0%EC%A0%90,raw,
695381313b178b129082b975,고정 피해,,,,,,,,2025-12-30T16:37:21.301Z,,https://namu.wiki/w/%EA%B3%A0%EC%A0%95%20%ED%94%BC%ED%95%B4,raw,
695381313b178b129082b976,골콘다,,,,,,,,2025-12-30T16:37:21.301Z,,https://namu.wiki/w/%EA%B3%A8%EC%BD%98%EB%8B%A4,raw,
695381313b178b129082b977,공격력,,,,,,,,2025-12-30T16:37:21.301Z,,https://namu.wiki/w/%EA%B3%B5%EA%B2%A9%EB%A0%A5,raw,
695381313b178b129082b978,공격속도,,,,,,,,2025-12-30T16:37:21.301Z,,https://namu.wiki/w/%EA%B3%B5%EA%B2%A9%EC%86%8D%EB%8F%84,raw,
695381313b178b129082b979,공굴리기 운영,,,,,,,,2025-12-30T16:37:21.302Z,,https://namu.wiki/w/%EA%B3%B5%EA%B5%B4%EB%A6%AC%EA%B8%B0%20%EC%9A%B4%EC%98%81,raw,
695381313b178b129082b97a,공략파,,,,,,,,2025-12-30T16:37:21.302Z,,https://namu.wiki/w/%EA%B3%B5%EB%9E%B5%ED%8C%8C,raw,
695381313b178b129082b97b,공업,,,,,,,,2025-12-30T16:37:21.302Z,,https://namu.wiki/w/%EA%B3%B5%EC%97%85,raw,
695381313b178b129082b97c,공제,,,,,,,,2025-12-30T16:37:21.304Z,,https://namu.wiki/w/%EA%B3%B5%EC%A0%9C,raw,
695381313b178b129082b97d,공팟,,,,,,,,2025-12-30T16:37:21.304Z,,https://namu.wiki/w/%EA%B3%B5%ED%8C%9F,raw,
695381313b178b129082b97e,관광(게임 용어),,,,,,,,2025-12-30T16:37:21.305Z,,https://namu.wiki/w/%EA%B4%80%EA%B4%91(%EA%B2%8C%EC%9E%84%20%EC%9A%A9%EC%96%B4),raw,
695381313b178b129082b97f,광역 기술,,,,,,,,2025-12-30T16:37:21.305Z,,https://namu.wiki/w/%EA%B4%91%EC%97%AD%20%EA%B8%B0%EC%88%A0,raw,
695381313b178b129082b980,광폭화,,,,,,,,2025-12-30T16:37:21.305Z,,https://namu.wiki/w/%EA%B4%91%ED%8F%AD%ED%99%94,raw,
695381313b178b129082b981,교복메타,,,,,,,,2025-12-30T16:37:21.305Z,,https://namu.wiki/w/%EA%B5%90%EB%B3%B5%EB%A9%94%ED%83%80,raw,
695381313b178b129082b982,국민맵,,,,,,,,2025-12-30T16:37:21.306Z,,https://namu.wiki/w/%EA%B5%AD%EB%AF%BC%EB%A7%B5,raw,
695381313b178b129082b983,군중제어기,,,,,,,,2025-12-30T16:37:21.307Z,,https://namu.wiki/w/%EA%B5%B0%EC%A4%91%EC%A0%9C%EC%96%B4%EA%B8%B0,raw,
695381313b178b129082b984,궁극기,,,,,,,,2025-12-30T16:37:21.308Z,,https://namu.wiki/w/%EA%B6%81%EA%B7%B9%EA%B8%B0,raw,
695381313b178b129082b985,귀맵,,,,,,,,2025-12-30T16:37:21.308Z,,https://namu.wiki/w/%EA%B7%80%EB%A7%B5,raw,
695381313b178b129082b986,귀속,,,,,,,,2025-12-30T16:37:21.308Z,,https://namu.wiki/w/%EA%B7%80%EC%86%8D,raw,
695381313b178b129082b987,귓속말,,,,,,,,2025-12-30T16:37:21.309Z,,https://namu.wiki/w/%EA%B7%93%EC%86%8D%EB%A7%90,raw,
695381313b178b129082b988,그 직업,,,,,,,,2025-12-30T16:37:21.309Z,,https://namu.wiki/w/%EA%B7%B8%20%EC%A7%81%EC%97%85,raw,
695381313b178b129082b989,그랜드 엔드,,,,,,,,2025-12-30T16:37:21.309Z,,https://namu.wiki/w/%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EC%97%94%EB%93%9C,raw,
695381313b178b129082b98a,그리핑,,,,,,,,2025-12-30T16:37:21.309Z,,https://namu.wiki/w/%EA%B7%B8%EB%A6%AC%ED%95%91,raw,
695381313b178b129082b98b,게임 시점,,,,,,,,2025-12-30T16:37:21.310Z,,https://namu.wiki/w/%ED%8B%80:%EA%B2%8C%EC%9E%84%20%EC%8B%9C%EC%A0%90,raw,
695381313b178b129082b98c,비디오 게임 용어,,,,,,,,2025-12-30T16:37:21.310Z,,https://namu.wiki/w/%ED%8B%80:%EB%B9%84%EB%94%94%EC%98%A4%20%EA%B2%8C%EC%9E%84%20%EC%9A%A9%EC%96%B4,raw,
695381313b178b129082b98d,스탯,,,,,,,,2025-12-30T16:37:21.311Z,,https://namu.wiki/w/%ED%8B%80:%EC%8A%A4%ED%83%AF,raw,
695381313b178b129082b98e,하이스코어,,,,,,,,2025-12-30T16:37:21.311Z,,https://namu.wiki/w/%ED%8B%80:%ED%95%98%EC%9D%B4%EC%8A%A4%EC%BD%94%EC%96%B4,raw,
69538a51a507d8787b04b369,🎮 비디오 게임 용어,,,,,,,,2025-12-30T17:16:17.213Z,,https://namu.wiki/w/%EB%B9%84%EB%94%94%EC%98%A4%20%EA%B2%8C%EC%9E%84,raw,
69538a51a507d8787b04b36a,간격 벌리기(카이팅),,,,,,,,2025-12-30T17:16:17.214Z,,https://namu.wiki/w/%EA%B0%84%EA%B2%A9%20%EB%B2%8C%EB%A6%AC%EA%B8%B0,raw,
69538a51a507d8787b04b36b,메즈,,,,,,,,2025-12-30T17:16:17.215Z,,https://namu.wiki/w/%EB%A9%94%EC%A6%88#s-2,raw,
69538a51a507d8787b04b36c,전체판정기,,,,,,,,2025-12-30T17:16:17.216Z,,https://namu.wiki/w/%EC%A0%84%EC%B2%B4%ED%8C%90%EC%A0%95%EA%B8%B0,raw,
69538a51a507d8787b04b36d,극딜,,,,,,,,2025-12-30T17:16:17.217Z,,https://namu.wiki/w/%EA%B7%B9%EB%94%9C,raw,
69538a51a507d8787b04b36e,꿈의 플레이,,,,,,,,2025-12-30T17:16:17.218Z,,https://namu.wiki/w/%EA%BF%88%EC%9D%98%20%ED%94%8C%EB%A0%88%EC%9D%B4,raw,
69538a51a507d8787b04b36f,난수조절,,,,,,,,2025-12-30T17:16:17.219Z,,https://namu.wiki/w/%EB%82%9C%EC%88%98%EC%A1%B0%EC%A0%88,raw,
69538a51a507d8787b04b370,너프,,,,,,,,2025-12-30T17:16:17.220Z,,https://namu.wiki/w/%EB%84%88%ED%94%84#s-3,raw,
69538a51a507d8787b04b371,노다이 클리어,,,,,,,,2025-12-30T17:16:17.220Z,,https://namu.wiki/w/%EB%85%B8%EB%8B%A4%EC%9D%B4%20%ED%81%B4%EB%A6%AC%EC%96%B4,raw,
69538a51a507d8787b04b372,넷코드,,,,,,,,2025-12-30T17:16:17.222Z,,https://namu.wiki/w/%EB%84%B7%EC%BD%94%EB%93%9C,raw,
69538a51a507d8787b04b373,더블 플레이,,,,,,,,2025-12-30T17:16:17.222Z,,https://namu.wiki/w/%EB%8D%94%EB%B8%94%20%ED%94%8C%EB%A0%88%EC%9D%B4#s-2,raw,
69538a51a507d8787b04b374,랜덤 인카운터,,,,,,,,2025-12-30T17:16:17.223Z,,https://namu.wiki/w/%EB%9E%9C%EB%8D%A4%20%EC%9D%B8%EC%B9%B4%EC%9A%B4%ED%84%B0,raw,
69538a51a507d8787b04b375,랭크,,,,,,,,2025-12-30T17:16:17.223Z,,https://namu.wiki/w/%EB%9E%AD%ED%81%AC#s-3,raw,
69538a51a507d8787b04b376,막장 플레이,,,,,,,,2025-12-30T17:16:17.225Z,,https://namu.wiki/w/%EB%A7%89%EC%9E%A5%20%ED%94%8C%EB%A0%88%EC%9D%B4,raw,
69538a51a507d8787b04b377,미러전,,,,,,,,2025-12-30T17:16:17.225Z,,https://namu.wiki/w/%EB%AF%B8%EB%9F%AC%EC%A0%84,raw,
69538a51a507d8787b04b378,버프,,,,,,,,2025-12-30T17:16:17.225Z,,https://namu.wiki/w/%EB%B2%84%ED%94%84#s-3,raw,
69538a51a507d8787b04b379,보스 러시,,,,,,,,2025-12-30T17:16:17.225Z,,https://namu.wiki/w/%EB%B3%B4%EC%8A%A4%20%EB%9F%AC%EC%8B%9C,raw,
69538a51a507d8787b04b37a,본계정,,,,,,,,2025-12-30T17:16:17.225Z,,https://namu.wiki/w/%EB%B3%B8%EA%B3%84%EC%A0%95,raw,
69538a51a507d8787b04b37b,부계정,,,,,,,,2025-12-30T17:16:17.227Z,,https://namu.wiki/w/%EB%B6%80%EA%B3%84%EC%A0%95,raw,
69538a51a507d8787b04b37c,부위파괴,,,,,,,,2025-12-30T17:16:17.228Z,,https://namu.wiki/w/%EB%B6%80%EC%9C%84%ED%8C%8C%EA%B4%B4#s-2,raw,
69538a51a507d8787b04b37d,분노 패턴,,,,,,,,2025-12-30T17:16:17.228Z,,https://namu.wiki/w/%EB%B6%84%EB%85%B8%20%ED%8C%A8%ED%84%B4,raw,
69538a51a507d8787b04b37e,블링크,,,,,,,,2025-12-30T17:16:17.229Z,,https://namu.wiki/w/%EB%B8%94%EB%A7%81%ED%81%AC(%EA%B2%8C%EC%9E%84%20%EC%9A%A9%EC%96%B4),raw,
69538a51a507d8787b04b37f,슈퍼 아머,,,,,,,,2025-12-30T17:16:17.229Z,,https://namu.wiki/w/%EC%8A%88%ED%8D%BC%20%EC%95%84%EB%A8%B8,raw,
69538a51a507d8787b04b380,스킨,,,,,,,,2025-12-30T17:16:17.229Z,,https://namu.wiki/w/%EC%8A%A4%ED%82%A8#s-3,raw,
69538a51a507d8787b04b381,스플래시 데미지,,,,,,,,2025-12-30T17:16:17.230Z,,https://namu.wiki/w/%EC%8A%A4%ED%94%8C%EB%9E%98%EC%8B%9C%20%EB%8D%B0%EB%AF%B8%EC%A7%80,raw,
69538a51a507d8787b04b382,스팸,,,,,,,,2025-12-30T17:16:17.230Z,,https://namu.wiki/w/%EC%8A%A4%ED%8C%B8(%EB%8F%99%EC%9D%8C%EC%9D%B4%EC%9D%98%EC%96%B4)#%EB%95%A1%EB%9F%AC%EC%89%AC(%EC%A0%84%EC%88%A0),raw,
69538a51a507d8787b04b383,시체 훼손,,,,,,,,2025-12-30T17:16:17.231Z,,https://namu.wiki/w/%EC%8B%9C%EC%B2%B4%20%ED%9B%BC%EC%86%90#s-2,raw,
69538a51a507d8787b04b384,티배깅,,,,,,,,2025-12-30T17:16:17.231Z,,https://namu.wiki/w/%ED%8B%B0%EB%B0%B0%EA%B9%85,raw,
69538a51a507d8787b04b385,어그로,,,,,,,,2025-12-30T17:16:17.232Z,,https://namu.wiki/w/%EC%96%B4%EA%B7%B8%EB%A1%9C,raw,
69538a51a507d8787b04b386,엔드 콘텐츠,,,,,,,,2025-12-30T17:16:17.232Z,,https://namu.wiki/w/%EC%97%94%EB%93%9C%20%EC%BD%98%ED%85%90%EC%B8%A0,raw,
69538a51a507d8787b04b387,잡몹,,,,,,,,2025-12-30T17:16:17.232Z,,https://namu.wiki/w/%EC%9E%A1%EB%AA%B9,raw,
